512
0.45000081951960147 0.7872164218132908 0.2885519119948869 | 0.0 -0.49800000000000005 0.0
0.4500021751202383 0.7872085296216461 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.4500038613545241 0.7872243372735195 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
0.45000359551845054 0.7872410790204626 0.45000359551845054 | 0.0 -0.49800000000000005 0.0
0.4500035955184505 0.7872410790204626 0.49999640448154953 | 0.0 -0.49800000000000005 0.0
0.4500038613545241 0.7872243372735195 0.5500378772735194 | 0.0 -0.49800000000000005 0.0
0.4500021751202383 0.7872085296216461 0.6014048156518977 | 0.0 -0.49800000000000005 0.0
0.45000081951960147 0.7872164218132908 0.661448088005113 | 0.0 -0.49800000000000005 0.0
0.4999991804803985 0.7872164218132908 0.2885519119948869 | 0.0 -0.49800000000000005 0.0
0.49999782487976163 0.7872085296216461 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.499996138645476 0.7872243372735195 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
0.49999640448154953 0.7872410790204626 0.4500035955184505 | 0.0 -0.49800000000000005 0.0
0.4999964044815496 0.7872410790204626 0.4999964044815496 | 0.0 -0.49800000000000005 0.0
0.499996138645476 0.7872243372735195 0.5500378772735194 | 0.0 -0.49800000000000005 0.0
0.49999782487976163 0.7872085296216461 0.6014048156518976 | 0.0 -0.49800000000000005 0.0
0.4999991804803985 0.7872164218132908 0.661448088005113 | 0.0 -0.49800000000000005 0.0
0.5500213468910403 0.7872078068910404 0.2885692019355771 | 0.0 -0.49800000000000005 0.0
0.5500092955534157 0.7871957555534158 0.34862074400717186 | 0.0 -0.49800000000000005 0.0
0.5500222313617215 0.7872086913617216 0.39997776863827883 | 0.0 -0.49800000000000005 0.0
0.5500378772735194 0.7872243372735195 0.4500038613545241 | 0.0 -0.49800000000000005 0.0
0.5500378772735194 0.7872243372735195 0.499996138645476 | 0.0 -0.49800000000000005 0.0
0.5500222313617215 0.7872086913617216 0.5500222313617215 | 0.0 -0.49800000000000005 0.0
